Time (s),Actual Temperature (C),Target Temperature (C)
0.23319280002033338,45.2,250.0
0.5332233000081033,45.2,250.0
0.8552797000156716,45.2,250.0
1.15910009999061,45.2,250.0
1.4786999000352807,45.1,250.0
1.7793572000227869,45.1,250.0
2.099331900011748,45.1,250.0
2.4064969000173733,45.1,250.0
2.7232183000305668,45.1,250.0
3.0289564999984577,45.1,250.0
3.347960199986119,45.1,250.0
3.668220499996096,45.1,250.0
3.970171900000423,45.0,250.0
4.291717300016899,45.0,250.0
4.594123499991838,45.0,250.0
4.914283599995542,45.0,250.0
5.234838300035335,45.0,250.0
5.535891400009859,44.900000000000006,250.0
5.8566577000310645,44.900000000000006,250.0
6.1608966999920085,44.900000000000006,250.0
6.465077200031374,44.900000000000006,250.0
6.782285700028297,44.900000000000006,250.0
7.1035392000339925,44.900000000000006,250.0
7.419679299986456,44.900000000000006,250.0
7.7257749999989755,44.900000000000006,250.0
8.046595600026194,45.0,250.0
8.3472960999934,45.0,250.0
8.668077900016215,45.0,250.0
8.970505200035404,47.900000000000006,250.0
9.276498300023377,47.900000000000006,250.0
9.597087100031786,47.900000000000006,250.0
9.916440200002398,52.800000000000004,250.0
10.232213600014802,52.800000000000004,250.0
10.538531400030479,52.800000000000004,250.0
10.855635099986102,55.7,250.0
11.161055900040083,55.7,250.0
11.481691199995112,55.7,250.0
11.78277170000365,58.5,250.0
12.088391199999023,58.5,250.0
12.409189300029539,60.6,250.0
12.728948100004345,60.6,250.0
13.045019700017292,60.6,250.0
13.350808400020469,62.6,250.0
13.671325100003742,62.6,250.0
13.972774100024253,62.6,250.0
14.293646100035403,64.60000000000001,250.0
14.59525539999595,64.60000000000001,250.0
14.900843899988104,64.60000000000001,250.0
15.221934100030921,66.0,250.0
15.540890900010709,66.0,250.0
15.856819799984805,66.0,250.0
16.16180569998687,68.10000000000001,250.0
16.482556900009513,68.10000000000001,250.0
16.78371019999031,69.10000000000001,250.0
17.104275199992117,69.10000000000001,250.0
17.409755400032736,69.10000000000001,250.0
17.726927799987607,71.10000000000001,250.0
18.032240500033367,71.10000000000001,250.0
18.3523850000347,71.10000000000001,250.0
18.67141970002558,72.3,250.0
18.976918300031684,72.3,250.0
19.29361280001467,72.3,250.0
19.600022100028582,74.0,250.0
19.916020400007255,74.0,250.0
20.221572200010996,74.0,250.0
20.542306800023653,75.3,250.0
20.842403799993917,75.3,250.0
21.163200900016818,75.3,250.0
21.469100499991328,76.7,250.0
21.803526900010183,76.7,250.0
22.104713200009428,78.2,250.0
22.41029020003043,78.2,250.0
22.731410500011407,78.2,250.0
23.032494199986104,79.2,250.0
23.353300200018566,79.2,250.0
23.658741799998097,79.2,250.0
23.97512120002648,81.0,250.0
24.280611100024544,81.0,250.0
24.60127189999912,81.0,250.0
24.92106610001065,82.0,250.0
25.236964399984572,82.0,250.0
25.542612900026143,82.0,250.0
25.84819620003691,83.60000000000001,250.0
26.164276900002733,83.60000000000001,250.0
26.46971149998717,84.7,250.0
26.79087259998778,84.7,250.0
27.09404540003743,84.7,250.0
27.42913290002616,85.80000000000001,250.0
27.730121300031897,85.80000000000001,250.0
28.036741700023413,85.80000000000001,250.0
28.353792200039607,87.10000000000001,250.0
28.65673039999092,87.10000000000001,250.0
28.978076300001703,87.10000000000001,250.0
29.283652000012808,88.0,250.0
29.600209600001108,88.0,250.0
29.921669300005306,88.0,250.0
30.223350299987942,89.60000000000001,250.0
30.52626210002927,89.60000000000001,250.0
30.847225100034848,89.60000000000001,250.0
31.15295399999013,90.4,250.0
31.48847909999313,90.4,250.0
31.789430400007404,91.9,250.0
32.09366270003375,91.9,250.0
32.41224700002931,91.9,250.0
32.718018600018695,92.7,250.0
33.03858430002583,92.7,250.0
33.354865000001155,92.7,250.0
33.660892600019,93.9,250.0
33.97800659999484,93.9,250.0
34.283971500000916,93.9,250.0
34.60452370002167,95.0,250.0
34.90547970001353,95.0,250.0
35.227904200030025,95.0,250.0
35.54447439999785,95.9,250.0
35.84853580000345,95.9,250.0
36.167377300036605,97.30000000000001,250.0
36.47278740000911,97.30000000000001,250.0
36.79211800004123,97.30000000000001,250.0
37.093232100014575,98.0,250.0
37.41690940002445,98.0,250.0
37.73637619998772,98.0,250.0
38.03935249999631,99.5,250.0
38.35698159999447,99.5,250.0
38.66242060001241,99.5,250.0
38.98011720000068,100.2,250.0
39.282007100002375,100.2,250.0
39.60447840002598,100.2,250.0
39.92329810000956,101.5,250.0
40.22506540000904,101.5,250.0
40.544467900006566,101.5,250.0
40.85042090003844,102.4,250.0
41.153771099983715,102.4,250.0
41.475852700008545,103.5,250.0
41.792279199988116,103.5,250.0
42.09559590002755,103.5,250.0
42.41407850000542,104.5,250.0
42.72058610001113,104.5,250.0
43.04070060001686,104.5,250.0
43.35787220002385,105.30000000000001,250.0
43.67899310000939,105.30000000000001,250.0
43.997222700039856,105.30000000000001,250.0
44.30402600002708,106.60000000000001,250.0
44.62003440002445,106.60000000000001,250.0
44.9265414000256,106.60000000000001,250.0
45.24373170000035,107.2,250.0
45.54901920002885,107.2,250.0
45.86852349998662,108.60000000000001,250.0
46.18786529998761,108.60000000000001,250.0
46.490491100004874,108.60000000000001,250.0
46.812194199999794,109.30000000000001,250.0
47.116194000002,109.30000000000001,250.0
47.434118500037584,109.30000000000001,250.0
47.738293900038116,110.4,250.0
48.05562800000189,110.4,250.0
48.3762229999993,110.4,250.0
48.67997739999555,111.2,250.0
48.98379269998986,111.2,250.0
49.30357490002643,111.2,250.0
49.60583930002758,111.9,250.0
49.92681730003096,111.9,250.0
50.24843060004059,113.10000000000001,250.0
50.56598590000067,113.10000000000001,250.0
50.871268999995664,113.10000000000001,250.0
51.17266370001016,113.60000000000001,250.0
51.493169100023806,113.60000000000001,250.0
51.812123899988364,113.60000000000001,250.0
52.11636440001894,114.9,250.0
52.43591420003213,114.9,250.0
52.755412800004706,114.9,250.0
53.05672460002825,115.4,250.0
53.36313850001898,115.4,250.0
53.6802963000373,115.4,250.0
53.986767299997155,116.60000000000001,250.0
54.30300240003271,116.60000000000001,250.0
54.60927320003975,116.60000000000001,250.0
54.944630299985874,117.2,250.0
55.247520000033546,117.2,250.0
55.55305660003796,118.0,250.0
55.855539300013334,118.0,250.0
56.19023890001699,118.0,250.0
56.49235760001466,118.9,250.0
56.797746399999596,118.9,250.0
57.118611000012606,118.9,250.0
57.42296280001756,119.5,250.0
57.7405076000141,119.5,250.0
58.06169050000608,119.5,250.0
58.36291450000135,120.60000000000001,250.0
58.66825809999136,120.60000000000001,250.0
58.98817940003937,120.60000000000001,250.0
59.30535049998434,121.10000000000001,250.0
59.623956400027964,121.10000000000001,250.0
59.930964300001506,122.2,250.0
60.23158160003368,122.2,250.0
60.55385209998349,122.2,250.0
60.87115000002086,122.7,250.0
61.174929600034375,122.7,250.0
61.49454039998818,122.7,250.0
61.79807459999574,123.7,250.0
62.11911000002874,123.7,250.0
