Time (s),Actual Temperature (C),Target Temperature (C)
0.17518940003355965,146.8,250.0
0.5087320000166073,146.8,250.0
0.8144479999900796,146.4,250.0
1.11822880001273,146.4,250.0
1.4381911000236869,146.0,250.0
1.74132810003357,146.0,250.0
2.0603196999873035,146.0,250.0
2.3820109000080265,145.70000000000002,250.0
2.6840462000109255,145.70000000000002,250.0
3.004305300011765,145.70000000000002,250.0
3.306344899989199,146.9,250.0
3.6263745999895036,146.9,250.0
3.930956199998036,146.9,250.0
4.253170499985572,149.5,250.0
4.571563499979675,149.5,250.0
4.87671829998726,149.5,250.0
5.193489700031932,152.3,250.0
5.496994199987967,152.3,250.0
5.80234819999896,152.3,250.0
6.123417299997527,154.60000000000002,250.0
6.443805099988822,154.60000000000002,250.0
6.744185800023843,156.60000000000002,250.0
7.067163200001232,156.60000000000002,250.0
7.387628600001335,156.60000000000002,250.0
7.688361799984705,158.20000000000002,250.0
8.00800790003268,158.20000000000002,250.0
8.311263100011274,158.20000000000002,250.0
8.615101300005335,159.70000000000002,250.0
8.93687219999265,159.70000000000002,250.0
9.257058100018185,159.70000000000002,250.0
9.577432300022338,161.0,250.0
9.880680400005076,161.0,250.0
10.18358489999082,161.0,250.0
10.502252999984194,162.3,250.0
10.807411600020714,162.3,250.0
11.127869300020393,163.5,250.0
11.447179000009783,163.5,250.0
11.75252769998042,163.5,250.0
12.068596900033299,164.70000000000002,250.0
12.373810700024478,164.70000000000002,250.0
12.693720599985681,164.70000000000002,250.0
12.998771900020074,165.8,250.0
13.31875780003611,165.8,250.0
13.620657299994491,165.8,250.0
13.942349100019783,166.9,250.0
14.242941799981054,166.9,250.0
14.563180700002704,166.9,250.0
14.882514600001741,167.8,250.0
15.188055200036615,167.8,250.0
15.508204600017052,167.8,250.0
15.814051199995447,168.9,250.0
16.130778099992312,168.9,250.0
16.436281899979804,169.9,250.0
16.756276900006924,169.9,250.0
17.05712000001222,169.9,250.0
17.38081569998758,170.8,250.0
17.683300699980464,170.8,250.0
17.98412650002865,170.8,250.0
18.323075900028925,171.8,250.0
18.62768859998323,171.8,250.0
18.94469560001744,171.8,250.0
19.249620700022206,172.8,250.0
19.57014760002494,172.8,250.0
19.874924900010228,172.8,250.0
20.19287800003076,173.60000000000002,250.0
20.497528599982616,173.60000000000002,250.0
20.818321500031743,174.60000000000002,250.0
21.118458200013265,174.60000000000002,250.0
21.43864870001562,174.60000000000002,250.0
21.74355730001116,175.5,250.0
22.064811300020665,175.5,250.0
22.365231700008735,175.5,250.0
22.704189600015525,176.4,250.0
23.005833000002895,176.4,250.0
23.311102300009225,176.4,250.0
23.63130160002038,177.3,250.0
23.93654259998584,177.3,250.0
24.2551070000045,177.3,250.0
24.5559431000147,178.10000000000002,250.0
24.876332000014372,178.10000000000002,250.0
25.181096600019373,178.9,250.0
25.501423500012606,178.9,250.0
25.802701100008562,178.9,250.0
26.122936800005846,179.8,250.0
26.442650499986485,179.8,250.0
26.74733360001119,179.8,250.0
27.06708940002136,180.70000000000002,250.0
27.372346099989954,180.70000000000002,250.0
